T_in,T_out,H_in,H_out,L,Solar,CO2,Wind,N,W,E,W_encoded,status
20.93465983675069,18.8490531460319,58.54307422679307,60.08751440372936,142.35537533608266,645.7445077331764,1069.8720021844083,2.8343215875437013,8,sunny,64.88788324442905,3,Good
24.5730257657964,21.86692498602329,44.572440708824494,45.99680701691658,659.2002205570586,243.37679468888783,817.7535927901885,4.636358309924905,18,rainy,91.92445609197148,1,Acceptable
26.11958547455402,24.9142345639536,55.72464146575806,51.48579705706295,0.0,1199.687321367024,1003.7504650877996,0.8543869953735799,17,sunny,35.54398124818313,3,Good
29.321070915837343,26.053324217447617,69.38143367694252,79.7605358018114,417.285287113831,365.190839283204,787.7201457637343,1.587345565009456,28,cloudy,108.4397718430868,0,Poor
18.421069468207925,20.811940920398005,45.82060486709537,33.65854757957602,351.0948419536173,822.0803556771585,710.13662318603,5.865309401584627,20,sunny,96.85105841969876,3,Acceptable
23.410578621930178,14.227811041701614,49.80540790992269,37.84513415677109,130.92902070303222,997.225777708416,760.808042133742,5.685943856129226,21,sunny,139.4517431396832,3,Good
22.922565395307423,26.193642352770155,54.03580915842923,49.31776726009247,490.2549916855852,235.58151913159668,1148.6010733052372,4.192323240442285,13,rainy,93.00645886774518,1,Acceptable
28.137412544865036,28.234642422559705,59.86661254109679,55.44681937983539,221.3540815471406,575.8683363737216,1173.4576581933454,3.588225940806994,28,cloudy,89.543347314666,0,Acceptable
25.82336221362322,15.58010851544224,51.52563120598984,44.40195608515221,473.3184618047387,566.5317114154022,874.2504446967347,1.4414118175377224,26,sunny,163.32760358776258,3,Acceptable
22.896570650210368,20.25317163889322,36.7229867391612,31.514874849048567,25.810469575796475,1055.208009256054,797.8186953211805,0.1930216769069681,18,sunny,68.61972866153468,3,Good
22.4244730271118,23.386185868585063,65.11326230615838,59.98968064974467,518.8037537502787,356.11953795702044,948.8853577242658,2.201495166589985,20,sunny,89.64557717573241,3,Good
19.67376194561932,11.212226276861315,32.52658607727433,20.62511292298927,356.4677360787936,501.26944727155154,984.6314869765764,3.3093888619039835,13,cloudy,132.53638798537926,0,Acceptable
21.921720966381024,28.80773953000788,54.72496943580696,51.33039898691084,527.4190884623553,314.47043101319645,830.1297394706143,5.261750358976502,22,cloudy,126.3958032272486,0,Acceptable
27.22041454326144,21.960066561510327,59.6075642566604,51.41233999664831,0.0,992.7257758292948,878.2926864276637,3.38572444096679,28,sunny,71.4672240693123,3,Good
20.63580836074472,29.193363940692,42.262816658716446,41.9120474560942,561.0725741780697,325.08536737615424,710.6696393314755,2.173480833608525,2,cloudy,123.6472691620246,0,Acceptable
22.788924168857868,30.30544517571153,44.43086391989477,49.74187823994524,389.2781159824347,531.7028975324157,690.2942318630089,1.0931931797629182,19,cloudy,137.09042490470972,0,Acceptable
19.460539336174037,30.87005027057716,52.235184552368366,60.04008526696701,939.1002831207026,209.10413154883807,730.0606300509753,4.174730329930975,8,cloudy,184.62618950111715,0,Acceptable
24.36450114649281,26.056482807478453,58.42664913457229,61.91028216097728,648.4243927367665,319.1608167796513,1212.5334170647304,0.0,12,cloudy,90.5722190693724,0,Acceptable
30.270685257833385,20.0175926373054,70.37192112446866,80.36872273810306,301.73311013301907,583.5310526939247,924.5809093991552,3.937074956890136,14,cloudy,163.714382866848,0,Poor
32.26958843549583,21.258972534984203,54.48409160636042,54.581675300508095,710.5158051097228,177.27221736729666,919.1377045696164,5.796029687928447,29,stormy,224.7686857644956,2,Poor
21.937188910404423,13.678384104869371,71.21993946643914,79.95201843165721,703.1083135486313,124.58391384464883,1211.7151445175475,3.365560036232929,9,rainy,158.83376088980793,1,Acceptable
19.298410760390556,10.758038976396758,74.86120989636797,90.63452917513304,614.4842851095792,247.5709081060868,529.2091555301638,4.428221335139199,7,rainy,159.746009935807,1,Poor
23.067041267944862,26.774145569034637,53.39933206672669,49.920621300375664,108.86106852336984,841.2394391658884,927.52987717559,0.3310227170260673,5,sunny,75.14653219277278,3,Good
21.96078682269028,26.63585311323574,46.53370250079516,45.324644168628,182.92485488405387,623.7945807797993,823.9319828339151,3.127951180947346,9,sunny,87.61238499503911,3,Good
29.721331631417243,15.869066690923216,46.900341523511,43.24545694266138,458.42778529509593,402.65680624119295,505.130200777552,0.3275800996983,12,cloudy,237.03797238132256,0,Poor
25.48842869924985,27.254621221073062,59.54291505389703,71.19722917256047,781.1735614874314,249.89679036664143,1306.1424626084238,1.6566664698311395,10,rainy,88.1347438117866,1,Acceptable
22.80433402939324,17.330556664375187,63.73981461001681,46.0669522046958,191.59895488956977,713.218721326851,729.9757190645332,4.133555456419211,28,sunny,101.2515135619853,3,Good
21.47759875900145,28.29456659392622,60.253041050216886,56.53278616020157,867.0853275483022,138.67498204114793,849.8280468858222,5.5460293477724765,20,stormy,147.78778289764395,2,Poor
23.865534897317698,22.17578005038609,45.95182571834757,50.50017686224075,0.0,1200.0,794.737391357896,2.7698840084122605,2,sunny,21.483180220068995,3,Good
20.24424598962536,7.828741869454287,47.16458872544806,47.37516492986134,730.5754867204555,388.0766081167443,953.0152788839852,5.778983392725935,19,cloudy,208.4823610852398,0,Acceptable
